發文日期,主題,閱讀人次,互動人次,
2月5日,AI 工具推薦清單,102,18,
2月7日,【天下雜誌】成功企業家愛用的10種ChatGPT提示句,81,6,
2月14日,📰 AI 每週科技報 02/08-02/14,46,5,
2月20日,📢 用 AI 讓簡報速度 X2，品質 X2！,38,1,
2月21日,📰 AI 每週科技報 02/15-02/21,48,3,
2月25日,「Gamma 簡報工具：從零到有 vs 快速優化，哪種情境更適合你？」,46,1,
2月27日,📰 AI 每週科技報 02/22-02/27,55,2,
3月9日,📰 AI 每週科技報 03/01-03/06,62,2,
3月9日,📰 AI 每週科技報 03/01-03/06,62,2,
3月11日,🤖 什麼是AI Agent？🎥 4分鐘帶你快速掌握！,66,1,
3月16日,📰 AI 每週科技報 03/09-03/15,69,1,
3月19日,🚀 ChatGPT 應用月開跑！解鎖 AI，工作生活更聰明,98,3,
3月21日,🚀 ChatGPT 應用月｜翻譯應用攻略,83,2,
3月23日,📰 AI 每週科技報 03/16-03/21,84,2,
3月30日,📰 AI 每週科技報 03/23-03/30,95,0,
4月6日,📅 ChatGPT 規劃管理技巧,85,1,
4月6日,📰 AI 每週科技報 03/31-04/06,78,1,
4月7日,🖼️ 用 ChatGPT 玩轉廣告設計！圖片+指令打造吸睛創意海報,128,19,
4月9日,🖼️ 用 ChatGPT 大玩照片風格轉換！翻轉你的照片風格,161,10,
4月10日,🎥【原來你也用AI！】少甫 AI 大揭密,220,76,
4月11日,🖼️ 不會畫畫也能做貼圖、公仔？！AI 幫你搞定！,116,20,
4月13日,📰 AI 每週科技報 04/07-04/12,78,1,
4月16日,🧠 技術太硬？讓 ChatGPT 幫你轉譯成圖像與人話！,81,9,
4月18日,📸 拍下來就能變成簡報插圖！,91,14,
4月27日,📰 AI 每週科技報 04/13-04/26,61,1,
5月12日,📰 AI 每週科技報 04/28-05/11,63,5,
5月12日,🎉【得獎名單公布】🎉,96,7,
5月19日,🎓 Scholar GPT：學術神器快速應用 🚀,51,7,
5月20日,AI 協作技術翻譯上場！企業如何破解技術資料的語言門檻？,64,6,
5月22日,🚀 Google搜尋進化了！AI摘要曝光,76,11,
5月25日,📰 AI 每週科技報 05/12-05/24,63,3,
5月27日,【Prompt 精選】用 AI 預演產品策略的未來變化，提早佈局,76,3,
5月28日,🎬《原來你也用AI！》第二彈－定原 AI 大揭密,142,60,
6月4日,🧠 推理模型當道！企業 AI 化迎來升級關鍵,47,2,
6月5日,ChatGPT 各種模型版本選用懶人包,48,1,
6月6日,🧠 ChatGPT 免費版升級！記憶功能正式開放，讓 AI 更懂你,54,2,
6月9日,📰 AI 每週科技報 05/25-06/08,57,2,
6月9日,《AI 實戰用例》ChatGPT × 研發配方設計｜效率翻倍的工作術！,82,8,
6月17日,🔍 搜尋變聰明了！ChatGPT 推出多重搜尋與圖片查詢功能,50,1,
6月18日,【Prompt 精選】用 AI 挖掘隱性需求與行為洞察,71,3,
6月24日,📰 AI 每週科技報 06/09-06/23,51,2,
6月25日,🤖 Napkin AI 簡報圖表生成推出新功能,49,2,
6月25日,【AI搜尋月】不只是搜尋。隆重介紹 ChatGPT 的智慧搜尋與視覺分析,64,1,
7月7日,【AI搜尋月】挑對工具，讓AI搜尋更有效率,74,1,
7月11日,【AI搜尋月】Perplexity：超強研究搜尋助理,76,2,
7月18日,📋 ChatGPT 助攻 8D！打造高效率、全面 8D 報告,124,2,
7月18日,🚀 加入ChatGPT智囊團，搶先解鎖AI黑科技！,59,3,
7月31日,🎬《原來你也用AI！》－第三彈－Joy AI 大揭密,137,28,
8月4日,LMS 新學習活動【AI超能力．獨自升級】任務三留言區,106,40,
8/14,ChatGPT 最新升級｜GPT-5 三種模式全面開放,79,3,
8/15,【AI搜尋月】Felo Search：跨語言搜尋助理,88,0,
8/19,置頂文章,135,3,
8/25,選對 AI 工具，事半功倍,75,2,
9/17,Vibe Coding Warm-up Workshop｜線上旁聽報名開放,80,4,
9/26,【 Vibe Coding 分享 #1 】4.5 分鐘完成一個精美網頁,57,6,
9/30,ChatGPT Prompts for Product,55,1,
10/03,Gemini生圖賀中秋，來自阿材與小天使的祝福 🎉,61,2,
10/07,【 Vibe Coding 分享 2 】Vibe Coding 簡介,58,1,
10/08,【 Vibe Coding 分享 #3】Vibe Coding實戰技巧分享,72,5,
10/11,🚀 一起加入Vibe Coding的數位轉型浪潮,51,1,
10/16,【 Vibe Coding 分享 #4】實戰案例：DL查詢流程自動化,75,8,
10/22,【 Vibe Coding 分享 5】實戰案例： Excel 資料一鍵轉換,86,4,
10/31,【 Vibe Coding 分享 6】實戰案例： 用菜單打造訂餐 Excel,43,1,
11/05,【 Vibe Coding 分享 7】實戰案例： 打造專屬戰情室,26,0,
11/10,數位轉型電子報】高效報告四大工具 # 1 ｜Perplexity,32,0,
11/10,『輕鬆玩AI』用 Gemini 做韓劇級雪景照 🎄,33,1,
11/12,ChatGPT中文繁體亂碼怎麼辦？透過字體修正指令輕鬆解決,39,9,
11/17,【 Vibe Coding 分享 8】實戰案例： 視覺圖表自動生成,31,1,
,,,,
,,,,
,,,,
,,,,
,總計,5090,455,0
,平均,77.4,7.5,
